r_code,region,comm_code,community
3,Greater Accra Region,31205,Tema Community Six
3,Greater Accra Region,31206,Tema Community Three
5,Eastern Region,31207,Tenkyemso
3,Greater Accra Region,31208,Teshie
3,Greater Accra Region,31209,Top Town
6,Ashanti Region,31210,Truba
4,Volta Region,31211,Tsorxor
4,Volta Region,31212,Vuvuikorpe
3,Greater Accra Region,31213,West Legon
6,Ashanti Region,31214,Winamda
7,Ashanti Region,31215,Yaw Owusukrom
6,Ashanti Region,31216,Zongo
3,Greater Accra Region,31217,Zongo Laka
